Mean results:
       algor	         gen	     EP_mean	     HV_mean	     RT_mean
                   cpu	                    10	            1.07703351	          3.114050e-06	            170.587333
      cpu_1.metrics.V2	                    10	            1.16202614	          0.000000e+00	            157.850000
      cpu_2.metrics.V2	                    10	            1.03977032	          0.000000e+00	            147.670000
      cpu_3.metrics.V2	                    10	            0.97395348	          1.114418e-05	            170.060000
      cpu_4.metrics.V2	                    10	            1.10517848	          0.000000e+00	            169.460000
      cpu_5.metrics.V2	                    10	            1.03656987	          0.000000e+00	            176.180000
      cpu_6.metrics.V2	                    10	            1.17399425	          0.000000e+00	            176.720000
                   cpu	                   100	            0.10262188	          2.661208e-01	           1661.253333
      cpu_1.metrics.V2	                   100	            0.07623146	          2.643141e-01	           1537.190000
      cpu_2.metrics.V2	                   100	            0.12699483	          2.602803e-01	           1330.970000
      cpu_3.metrics.V2	                   100	            0.07855526	          2.760688e-01	           1273.480000
      cpu_4.metrics.V2	                   100	            0.10609185	          2.704409e-01	           1762.160000
      cpu_5.metrics.V2	                   100	            0.11075719	          2.677009e-01	           1351.960000
      cpu_6.metrics.V2	                   100	            0.13561675	          2.653508e-01	           1083.360000
                   cpu	                  1000	            0.14500095	          2.998382e-01	          15739.204000
      cpu_1.metrics.V2	                  1000	            0.13850059	          2.984826e-01	          12028.460000
      cpu_2.metrics.V2	                  1000	            0.14976869	          3.001250e-01	          11205.030000
      cpu_3.metrics.V2	                  1000	            0.14034688	          2.993456e-01	          14688.070000
      cpu_4.metrics.V2	                  1000	            0.14179836	          3.006236e-01	          10462.000000
      cpu_5.metrics.V2	                  1000	            0.13617140	          3.004301e-01	          15383.740000
      cpu_6.metrics.V2	                  1000	            0.15179449	          2.995914e-01	          12414.370000
             gpu_async	                    10	            1.14630910	          0.000000e+00	              9.351333
gpu_async_1.metrics.V2	                    10	            1.17319026	          0.000000e+00	              8.260000
gpu_async_2.metrics.V2	                    10	            1.09312123	          0.000000e+00	              8.250000
gpu_async_3.metrics.V2	                    10	            1.11971895	          0.000000e+00	              8.240000
gpu_async_4.metrics.V2	                    10	            1.09725410	          0.000000e+00	              8.240000
gpu_async_5.metrics.V2	                    10	            0.99911011	          0.000000e+00	              8.270000
gpu_async_6.metrics.V2	                    10	            1.21051976	          0.000000e+00	             10.540000
              gpu_sync	                    10	            1.19854574	          0.000000e+00	             22.970667
 gpu_sync_1.metrics.V2	                    10	            1.23544204	          0.000000e+00	             20.390000
 gpu_sync_2.metrics.V2	                    10	            1.21063678	          0.000000e+00	             20.370000
 gpu_sync_3.metrics.V2	                    10	            1.25379641	          0.000000e+00	             23.900000
 gpu_sync_4.metrics.V2	                    10	            1.13277945	          0.000000e+00	             20.450000
 gpu_sync_5.metrics.V2	                    10	            1.28213236	          0.000000e+00	             20.450000
 gpu_sync_6.metrics.V2	                    10	            1.13406070	          0.000000e+00	             20.400000
             gpu_async	                   100	            0.09468129	          3.203475e-01	             79.648667
gpu_async_1.metrics.V2	                   100	            0.08101867	          3.208664e-01	             69.560000
gpu_async_2.metrics.V2	                   100	            0.14358849	          3.231425e-01	             69.270000
gpu_async_3.metrics.V2	                   100	            0.05553342	          3.212262e-01	             69.450000
gpu_async_4.metrics.V2	                   100	            0.13288061	          3.182959e-01	             69.130000
gpu_async_5.metrics.V2	                   100	            0.06643689	          3.213940e-01	             80.600000
gpu_async_6.metrics.V2	                   100	            0.09013241	          3.223422e-01	             69.110000
              gpu_sync	                   100	            0.11481776	          2.478229e-01	            227.858000
 gpu_sync_1.metrics.V2	                   100	            0.10770020	          2.482098e-01	            232.950000
 gpu_sync_2.metrics.V2	                   100	            0.09082060	          2.514035e-01	            203.500000
 gpu_sync_3.metrics.V2	                   100	            0.08537761	          2.507607e-01	            203.370000
 gpu_sync_4.metrics.V2	                   100	            0.08650510	          2.556659e-01	            205.550000
 gpu_sync_5.metrics.V2	                   100	            0.09395369	          2.477573e-01	            203.490000
 gpu_sync_6.metrics.V2	                   100	            0.13443426	          2.493268e-01	            205.080000
             gpu_async	                  1000	            0.14526868	          2.998950e-01	            679.837333
gpu_async_1.metrics.V2	                  1000	            0.14822547	          2.982322e-01	            622.910000
gpu_async_2.metrics.V2	                  1000	            0.14763407	          3.000569e-01	            629.920000
gpu_async_3.metrics.V2	                  1000	            0.13978467	          3.016582e-01	            629.780000
gpu_async_4.metrics.V2	                  1000	            0.13824016	          3.007676e-01	            632.580000
gpu_async_5.metrics.V2	                  1000	            0.14679583	          2.992544e-01	            626.060000
gpu_async_6.metrics.V2	                  1000	            0.14195986	          2.997207e-01	            651.980000
              gpu_sync	                  1000	            0.14649999	          2.998963e-01	           2216.669333
 gpu_sync_1.metrics.V2	                  1000	            0.13712633	          2.998806e-01	           1991.050000
 gpu_sync_2.metrics.V2	                  1000	            0.14235735	          3.001374e-01	           2032.210000
 gpu_sync_3.metrics.V2	                  1000	            0.14963923	          2.993333e-01	           1990.360000
 gpu_sync_4.metrics.V2	                  1000	            0.14460922	          2.996612e-01	           1996.200000
 gpu_sync_5.metrics.V2	                  1000	            0.14146063	          2.976133e-01	           2032.900000
 gpu_sync_6.metrics.V2	                  1000	            0.13968777	          2.975003e-01	           1994.980000
