Normality results: (p < 0.05: no normality)
       algor	         gen	     EP_norm	     HV_norm	     RT_norm
                   cpu	                    10	             0.1452396	          9.834313e-08	          0.5754953839
      cpu_1.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_2.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_3.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_4.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_5.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_6.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
                   cpu	                   100	             0.6290972	          5.366718e-01	          0.5484245346
      cpu_1.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_2.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_3.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_4.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_5.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_6.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
                   cpu	                  1000	             0.7818983	          7.198657e-01	          0.0206368037
      cpu_1.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_2.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_3.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_4.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_5.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
      cpu_6.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
             gpu_async	                    10	             0.7117259	          1.000000e+00	          0.0493775860
gpu_async_1.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_2.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_3.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_4.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_5.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_6.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
              gpu_sync	                    10	             0.3414385	          1.000000e+00	          0.0016860852
 gpu_sync_1.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_2.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_3.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_4.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_5.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_6.metrics.V2	                    10	             1.0000000	          1.000000e+00	          1.0000000000
             gpu_async	                   100	             0.1223421	          2.099384e-01	          0.0820488433
gpu_async_1.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_2.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_3.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_4.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_5.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_6.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
              gpu_sync	                   100	             0.2200154	          7.680874e-01	          0.0009387925
 gpu_sync_1.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_2.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_3.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_4.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_5.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_6.metrics.V2	                   100	             1.0000000	          1.000000e+00	          1.0000000000
             gpu_async	                  1000	             0.1588629	          8.493372e-01	          0.1222283831
gpu_async_1.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_2.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_3.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_4.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_5.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
gpu_async_6.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
              gpu_sync	                  1000	             0.7109152	          3.517421e-02	          0.0569901405
 gpu_sync_1.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_2.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_3.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_4.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_5.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
 gpu_sync_6.metrics.V2	                  1000	             1.0000000	          1.000000e+00	          1.0000000000
