1000 Gen -- TukeyHSD p-values: (p < 0.05: no equal means)
Metric:            EP	           HV	           RT
cpu_1.metrics.V2-cpu	   0.993	       1	       1
cpu_2.metrics.V2-cpu	       1	   0.874	   0.988
cpu_3.metrics.V2-cpu	       1	       1	       1
cpu_4.metrics.V2-cpu	       1	   0.989	       1
cpu_5.metrics.V2-cpu	       1	       1	   0.949
cpu_6.metrics.V2-cpu	       1	       1	       1
gpu_async-cpu	       1	   0.999	   0.926
gpu_async_1.metrics.V2-cpu	       1	       1	       1
gpu_async_2.metrics.V2-cpu	   0.766	   0.988	   0.981
gpu_async_3.metrics.V2-cpu	    0.99	       1	       1
gpu_async_4.metrics.V2-cpu	   0.997	       1	   0.942
gpu_async_5.metrics.V2-cpu	       1	       1	   0.933
gpu_async_6.metrics.V2-cpu	       1	       1	       1
gpu_sync-cpu	   0.986	   0.998	   0.735
gpu_sync_1.metrics.V2-cpu	       1	       1	       1
gpu_sync_2.metrics.V2-cpu	       1	   0.975	   0.911
gpu_sync_3.metrics.V2-cpu	       1	   0.998	       1
gpu_sync_4.metrics.V2-cpu	   0.829	   0.999	       1
gpu_sync_5.metrics.V2-cpu	       1	   0.997	   0.973
gpu_sync_6.metrics.V2-cpu	       1	       1	   0.916
cpu_2.metrics.V2-cpu_1.metrics.V2	       1	   0.998	   0.999
cpu_3.metrics.V2-cpu_1.metrics.V2	       1	       1	       1
cpu_4.metrics.V2-cpu_1.metrics.V2	       1	   0.996	       1
cpu_5.metrics.V2-cpu_1.metrics.V2	       1	   0.988	       1
cpu_6.metrics.V2-cpu_1.metrics.V2	       1	       1	       1
gpu_async-cpu_1.metrics.V2	   0.975	       1	       1
gpu_async_1.metrics.V2-cpu_1.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2-cpu_1.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2-cpu_1.metrics.V2	       1	       1	   0.998
gpu_async_4.metrics.V2-cpu_1.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2-cpu_1.metrics.V2	   0.502	   0.844	   0.876
gpu_async_6.metrics.V2-cpu_1.metrics.V2	   0.915	       1	       1
gpu_sync-cpu_1.metrics.V2	   0.955	       1	   0.674
gpu_sync_1.metrics.V2-cpu_1.metrics.V2	       1	       1	   0.748
gpu_sync_2.metrics.V2-cpu_1.metrics.V2	   0.996	       1	       1
gpu_sync_3.metrics.V2-cpu_1.metrics.V2	   0.992	       1	       1
gpu_sync_4.metrics.V2-cpu_1.metrics.V2	   0.879	   0.739	       1
gpu_sync_5.metrics.V2-cpu_1.metrics.V2	   0.979	   0.999	   0.614
gpu_sync_6.metrics.V2-cpu_1.metrics.V2	   0.986	       1	   0.999
cpu_3.metrics.V2-cpu_2.metrics.V2	   0.965	   0.872	       1
cpu_4.metrics.V2-cpu_2.metrics.V2	       1	   0.999	   0.983
cpu_5.metrics.V2-cpu_2.metrics.V2	       1	       1	       1
cpu_6.metrics.V2-cpu_2.metrics.V2	   0.932	       1	       1
gpu_async-cpu_2.metrics.V2	       1	       1	   0.999
gpu_async_1.metrics.V2-cpu_2.metrics.V2	       1	   0.996	   0.975
gpu_async_2.metrics.V2-cpu_2.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2-cpu_2.metrics.V2	   0.935	       1	       1
gpu_async_4.metrics.V2-cpu_2.metrics.V2	       1	       1	   0.995
gpu_async_5.metrics.V2-cpu_2.metrics.V2	   0.998	   0.987	       1
gpu_async_6.metrics.V2-cpu_2.metrics.V2	       1	       1	    0.96
gpu_sync-cpu_2.metrics.V2	       1	       1	       1
gpu_sync_1.metrics.V2-cpu_2.metrics.V2	       1	   0.998	       1
gpu_sync_2.metrics.V2-cpu_2.metrics.V2	       1	       1	   0.989
gpu_sync_3.metrics.V2-cpu_2.metrics.V2	       1	       1	   0.978
gpu_sync_4.metrics.V2-cpu_2.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-cpu_2.metrics.V2	   0.995	       1	   0.924
gpu_sync_6.metrics.V2-cpu_2.metrics.V2	       1	       1	   0.919
cpu_4.metrics.V2-cpu_3.metrics.V2	       1	       1	       1
cpu_5.metrics.V2-cpu_3.metrics.V2	       1	       1	   0.982
cpu_6.metrics.V2-cpu_3.metrics.V2	       1	       1	       1
gpu_async-cpu_3.metrics.V2	       1	       1	       1
gpu_async_1.metrics.V2-cpu_3.metrics.V2	       1	       1	   0.999
gpu_async_2.metrics.V2-cpu_3.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2-cpu_3.metrics.V2	   0.811	       1	       1
gpu_async_4.metrics.V2-cpu_3.metrics.V2	       1	       1	   0.988
gpu_async_5.metrics.V2-cpu_3.metrics.V2	       1	    0.84	   0.999
gpu_async_6.metrics.V2-cpu_3.metrics.V2	       1	       1	   0.999
gpu_sync-cpu_3.metrics.V2	       1	       1	       1
gpu_sync_1.metrics.V2-cpu_3.metrics.V2	       1	   0.997	   0.976
gpu_sync_2.metrics.V2-cpu_3.metrics.V2	       1	       1	       1
gpu_sync_3.metrics.V2-cpu_3.metrics.V2	   0.997	       1	       1
gpu_sync_4.metrics.V2-cpu_3.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-cpu_3.metrics.V2	       1	   0.981	       1
gpu_sync_6.metrics.V2-cpu_3.metrics.V2	   0.939	       1	       1
cpu_5.metrics.V2-cpu_4.metrics.V2	       1	       1	       1
cpu_6.metrics.V2-cpu_4.metrics.V2	       1	       1	       1
gpu_async-cpu_4.metrics.V2	   0.748	   0.673	   0.999
gpu_async_1.metrics.V2-cpu_4.metrics.V2	       1	   0.985	   0.995
gpu_async_2.metrics.V2-cpu_4.metrics.V2	       1	   0.995	       1
gpu_async_3.metrics.V2-cpu_4.metrics.V2	       1	   0.686	   0.972
gpu_async_4.metrics.V2-cpu_4.metrics.V2	       1	       1	   0.995
gpu_async_5.metrics.V2-cpu_4.metrics.V2	       1	   0.999	       1
gpu_async_6.metrics.V2-cpu_4.metrics.V2	       1	       1	       1
gpu_sync-cpu_4.metrics.V2	       1	       1	       1
gpu_sync_1.metrics.V2-cpu_4.metrics.V2	       1	       1	   0.996
gpu_sync_2.metrics.V2-cpu_4.metrics.V2	       1	       1	       1
gpu_sync_3.metrics.V2-cpu_4.metrics.V2	       1	       1	       1
gpu_sync_4.metrics.V2-cpu_4.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-cpu_4.metrics.V2	       1	   0.934	   0.907
gpu_sync_6.metrics.V2-cpu_4.metrics.V2	       1	       1	       1
cpu_6.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_async-cpu_5.metrics.V2	   0.969	       1	       1
gpu_async_1.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2-cpu_5.metrics.V2	   0.999	   0.997	       1
gpu_async_4.metrics.V2-cpu_5.metrics.V2	       1	       1	   0.957
gpu_async_5.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_async_6.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_sync-cpu_5.metrics.V2	       1	       1	       1
gpu_sync_1.metrics.V2-cpu_5.metrics.V2	       1	   0.765	   0.712
gpu_sync_2.metrics.V2-cpu_5.metrics.V2	       1	       1	   0.981
gpu_sync_3.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_sync_4.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-cpu_5.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-cpu_5.metrics.V2	       1	   0.845	     0.8
gpu_async-cpu_6.metrics.V2	       1	       1	       1
gpu_async_1.metrics.V2-cpu_6.metrics.V2	    0.99	       1	       1
gpu_async_2.metrics.V2-cpu_6.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2-cpu_6.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2-cpu_6.metrics.V2	   0.994	   0.989	   0.973
gpu_async_5.metrics.V2-cpu_6.metrics.V2	       1	   0.953	       1
gpu_async_6.metrics.V2-cpu_6.metrics.V2	       1	       1	       1
gpu_sync-cpu_6.metrics.V2	       1	       1	       1
gpu_sync_1.metrics.V2-cpu_6.metrics.V2	       1	   0.711	   0.633
gpu_sync_2.metrics.V2-cpu_6.metrics.V2	   0.998	   0.557	   0.929
gpu_sync_3.metrics.V2-cpu_6.metrics.V2	       1	       1	   0.973
gpu_sync_4.metrics.V2-cpu_6.metrics.V2	   0.999	   0.996	       1
gpu_sync_5.metrics.V2-cpu_6.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-cpu_6.metrics.V2	       1	       1	       1
gpu_async_1.metrics.V2-gpu_async	       1	       1	       1
gpu_async_2.metrics.V2-gpu_async	       1	       1	       1
gpu_async_3.metrics.V2-gpu_async	   0.948	   0.924	       1
gpu_async_4.metrics.V2-gpu_async	   0.955	   0.995	   0.954
gpu_async_5.metrics.V2-gpu_async	   0.998	       1	   0.967
gpu_async_6.metrics.V2-gpu_async	   0.993	   0.271	    0.23
gpu_sync-gpu_async	       1	       1	       1
gpu_sync_1.metrics.V2-gpu_async	       1	       1	       1
gpu_sync_2.metrics.V2-gpu_async	       1	   0.696	   0.639
gpu_sync_3.metrics.V2-gpu_async	       1	       1	       1
gpu_sync_4.metrics.V2-gpu_async	       1	       1	       1
gpu_sync_5.metrics.V2-gpu_async	   0.999	   0.999	       1
gpu_sync_6.metrics.V2-gpu_async	       1	       1	       1
gpu_async_2.metrics.V2-gpu_async_1.metrics.V2	       1	   0.988	   0.979
gpu_async_3.metrics.V2-gpu_async_1.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2-gpu_async_1.metrics.V2	       1	    0.71	   0.633
gpu_async_5.metrics.V2-gpu_async_1.metrics.V2	       1	       1	       1
gpu_async_6.metrics.V2-gpu_async_1.metrics.V2	   0.974	   0.959	       1
gpu_sync-gpu_async_1.metrics.V2	       1	   0.932	   0.903
gpu_sync_1.metrics.V2-gpu_async_1.metrics.V2	       1	   0.999	   0.998
gpu_sync_2.metrics.V2-gpu_async_1.metrics.V2	   0.991	   0.984	       1
gpu_sync_3.metrics.V2-gpu_async_1.metrics.V2	    0.42	   0.131	       1
gpu_sync_4.metrics.V2-gpu_async_1.metrics.V2	  0.0336	       1	   0.615
gpu_sync_5.metrics.V2-gpu_async_1.metrics.V2	1.06e-12	5.82e-12	 5.9e-12
gpu_sync_6.metrics.V2-gpu_async_1.metrics.V2	5.89e-12	5.92e-12	5.86e-12
gpu_async_3.metrics.V2-gpu_async_2.metrics.V2	6.11e-12	1.06e-12	9.02e-11
gpu_async_4.metrics.V2-gpu_async_2.metrics.V2	9.87e-11	9.01e-11	9.13e-11
gpu_async_5.metrics.V2-gpu_async_2.metrics.V2	9.89e-11	 9.1e-11	       1
gpu_async_6.metrics.V2-gpu_async_2.metrics.V2	   0.995	       1	   0.948
gpu_sync-gpu_async_2.metrics.V2	       1	2.14e-08	3.15e-05
gpu_sync_1.metrics.V2-gpu_async_2.metrics.V2	3.19e-05	3.19e-05	 3.2e-05
gpu_sync_2.metrics.V2-gpu_async_2.metrics.V2	3.17e-05	3.31e-05	8.51e-07
gpu_sync_3.metrics.V2-gpu_async_2.metrics.V2	 0.00035	0.000376	 0.00035
gpu_sync_4.metrics.V2-gpu_async_2.metrics.V2	0.000353	0.000377	0.000353
gpu_sync_5.metrics.V2-gpu_async_2.metrics.V2	   0.929	       1	    0.75
gpu_sync_6.metrics.V2-gpu_async_2.metrics.V2	       1	1.52e-07	0.000135
gpu_async_4.metrics.V2-gpu_async_3.metrics.V2	0.000137	0.000137	0.000137
gpu_async_5.metrics.V2-gpu_async_3.metrics.V2	0.000136	0.000142	6.32e-06
gpu_async_6.metrics.V2-gpu_async_3.metrics.V2	 0.00144	 0.00154	 0.00144
gpu_sync-gpu_async_3.metrics.V2	 0.00145	 0.00154	 0.00145
gpu_sync_1.metrics.V2-gpu_async_3.metrics.V2	   0.734	       1	   0.999
gpu_sync_2.metrics.V2-gpu_async_3.metrics.V2	5.15e-11	 2.8e-07	2.83e-07
gpu_sync_3.metrics.V2-gpu_async_3.metrics.V2	2.83e-07	2.84e-07	2.81e-07
gpu_sync_4.metrics.V2-gpu_async_3.metrics.V2	2.94e-07	1.57e-09	3.16e-06
gpu_sync_5.metrics.V2-gpu_async_3.metrics.V2	 3.4e-06	3.15e-06	3.19e-06
gpu_sync_6.metrics.V2-gpu_async_3.metrics.V2	 3.4e-06	3.18e-06	   0.477
gpu_async_5.metrics.V2-gpu_async_4.metrics.V2	       1	9.14e-07	0.000494
gpu_async_6.metrics.V2-gpu_async_4.metrics.V2	  0.0005	  0.0005	0.000502
gpu_sync-gpu_async_4.metrics.V2	0.000497	0.000519	3.86e-05
gpu_sync_1.metrics.V2-gpu_async_4.metrics.V2	 0.00493	 0.00527	 0.00492
gpu_sync_2.metrics.V2-gpu_async_4.metrics.V2	 0.00497	 0.00528	 0.00496
gpu_sync_3.metrics.V2-gpu_async_4.metrics.V2	   0.984	1.24e-11	8.26e-08
gpu_sync_4.metrics.V2-gpu_async_4.metrics.V2	8.36e-08	8.36e-08	 8.4e-08
gpu_sync_5.metrics.V2-gpu_async_4.metrics.V2	8.31e-08	8.69e-08	3.26e-10
gpu_sync_6.metrics.V2-gpu_async_4.metrics.V2	9.17e-07	9.87e-07	9.16e-07
gpu_async_6.metrics.V2-gpu_async_5.metrics.V2	9.26e-07	9.88e-07	9.24e-07
gpu_sync-gpu_async_5.metrics.V2	8.65e-09	1.58e-05	 1.6e-05
gpu_sync_1.metrics.V2-gpu_async_5.metrics.V2	 1.6e-05	1.61e-05	1.59e-05
gpu_sync_2.metrics.V2-gpu_async_5.metrics.V2	1.67e-05	3.34e-07	0.000179
gpu_sync_3.metrics.V2-gpu_async_5.metrics.V2	0.000192	0.000178	 0.00018
gpu_sync_4.metrics.V2-gpu_async_5.metrics.V2	0.000192	 0.00018	       1
gpu_sync_5.metrics.V2-gpu_async_5.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_async_5.metrics.V2	       1	       1	   0.177
gpu_sync-gpu_async_6.metrics.V2	       1	       1	       1
gpu_sync_1.metrics.V2-gpu_async_6.metrics.V2	       1	       1	       1
gpu_sync_2.metrics.V2-gpu_async_6.metrics.V2	       1	       1	       1
gpu_sync_3.metrics.V2-gpu_async_6.metrics.V2	       1	       1	       1
gpu_sync_4.metrics.V2-gpu_async_6.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-gpu_async_6.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_async_6.metrics.V2	       1	       1	       1
gpu_sync_1.metrics.V2-gpu_sync	       1	       1	       1
gpu_sync_2.metrics.V2-gpu_sync	       1	       1	       1
gpu_sync_3.metrics.V2-gpu_sync	       1	       1	       1
gpu_sync_4.metrics.V2-gpu_sync	       1	       1	       1
gpu_sync_5.metrics.V2-gpu_sync	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_sync	       1	       1	       1
gpu_sync_2.metrics.V2-gpu_sync_1.metrics.V2	       1	       1	       1
gpu_sync_3.metrics.V2-gpu_sync_1.metrics.V2	       1	       1	       1
gpu_sync_4.metrics.V2-gpu_sync_1.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-gpu_sync_1.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_sync_1.metrics.V2	       1	       1	       1
gpu_sync_3.metrics.V2-gpu_sync_2.metrics.V2	       1	       1	       1
gpu_sync_4.metrics.V2-gpu_sync_2.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-gpu_sync_2.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_sync_2.metrics.V2	       1	       1	       1
gpu_sync_4.metrics.V2-gpu_sync_3.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-gpu_sync_3.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_sync_3.metrics.V2	       1	       1	       1
gpu_sync_5.metrics.V2-gpu_sync_4.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_sync_4.metrics.V2	       1	       1	       1
gpu_sync_6.metrics.V2-gpu_sync_5.metrics.V2	       1	       1	       1
